
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)"
="",="ln_f_plants_new",="ln_f_newpl_HH",="ln_f_newpl_NHH",="ln_f_plants_new_lt3",="ln_f_plants_new_gt4",="ln_f_plants_new_noloan",="ln_f_plants_new_loan",="ln_f_plants_new",="ln_f_newpl_HH",="ln_f_newpl_NHH",="ln_f_plants_new_noloan",="ln_f_plants_new_loan",="ln_f_plants_new_lt3",="ln_f_plants_new_gt4"

="reservedYN_adj_preferred_pct",="0.393+",="0.339+",="0.062",="0.342+",="0.158",="0.378+",="0.143",="0.335+",="0.267",="0.041",="0.338+",="0.131",="0.293",="0.142"
="",="(0.214)",="(0.192)",="(0.145)",="(0.198)",="(0.122)",="(0.203)",="(0.130)",="(0.194)",="(0.170)",="(0.139)",="(0.187)",="(0.121)",="(0.187)",="(0.115)"

="DV_m_analogue",="",="",="",="",="",="",="",="0.118+++",="0.115+++",="0.071+++",="0.092+++",="0.049+",="0.100+++",="0.047+"
="",="",="",="",="",="",="",="",="(0.024)",="(0.024)",="(0.019)",="(0.031)",="(0.027)",="(0.025)",="(0.024)"

="N",="3607",="3607",="3607",="3607",="3607",="3607",="3607",="3607",="3607",="3607",="3607",="3607",="3607",="3607"
="adj. R-sq",="0.733",="0.743",="0.528",="0.736",="0.358",="0.732",="0.456",="0.737",="0.748",="0.531",="0.734",="0.459",="0.740",="0.361"

="Standard errors in parentheses"
="+ p<.1, ++ p<.05, +++ p<.01"
