
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)"
="",="ln_f_plants_new",="ln_f_plants_new",="ln_f_plants_new",="ln_f_plants_new",="ln_f_plants_new",="ln_f_plants_new",="ln_f_plants_new",="ln_f_plants_new",="ln_f_plants_new",="ln_f_plants_new",="ln_f_plants_new",="ln_f_plants_new",="ln_f_plants_new",="ln_f_plants_new"

="c.f_share_HH_1994_std#c.reservedYN_adj_preferred_pct",="0.400+++",="",="0.336++",="0.443+++",="0.379+++",="0.400+",="0.390+++",="0.391+++",="",="0.329++",="0.428+++",="0.376+++",="0.391+",="0.380+++"
="",="(0.135)",="",="(0.140)",="(0.154)",="(0.142)",="(0.202)",="(0.135)",="(0.134)",="",="(0.139)",="(0.153)",="(0.143)",="(0.197)",="(0.133)"

="reservedYN_adj_preferred_pct",="",="",="",="",="",="",="0.352++",="",="",="",="",="",="",="0.296++"
="",="",="",="",="",="",="",="(0.138)",="",="",="",="",="",="",="(0.138)"

="c.f_share_HH_1994_std#c.reservedYN",="",="0.398+++",="",="",="",="",="",="",="0.389+++",="",="",="",="",=""
="",="",="(0.129)",="",="",="",="",="",="",="(0.127)",="",="",="",="",=""

="ln_m_plants_new",="",="",="",="",="",="",="",="0.096+++",="0.096+++",="0.106+++",="0.094+++",="0.078++",="0.096+++",="0.117+++"
="",="",="",="",="",="",="",="",="(0.031)",="(0.031)",="(0.033)",="(0.035)",="(0.032)",="(0.027)",="(0.031)"

="N",="3607",="3607",="3301",="2834",="3359",="3607",="3607",="3607",="3607",="3301",="2834",="3359",="3607",="3607"
="adj. R-sq",="0.738",="0.738",="0.725",="0.738",="0.723",="0.738",="0.735",="0.740",="0.740",="0.728",="0.740",="0.725",="0.740",="0.739"

="Standard errors in parentheses"
="+ p<.1, ++ p<.05, +++ p<.01"
